epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4361,0.48074,0.35018,0.87367,0.91571,0.73599,0.80824,0.67263,0.53456,0.4519,0.90543,0.0670661,9.90991e-05,9.90991e-05
2,47.8843,0.44366,0.33416,0.86955,0.92571,0.76125,0.83493,0.70776,0.48806,0.39394,0.89218,0.0338322,0.000198606,0.000198606
3,72.2736,0.4499,0.33666,0.86876,0.93153,0.74723,0.82815,0.7036,0.49207,0.39602,0.8884,0.000597919,0.000297619,0.000297619
