epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1292.58,0.83311,0.62592,1.0494,0.89372,0.69957,0.77782,0.62269,0.62814,0.50992,0.93649,0.00025941,0.00025941,0.00025941
43,1323.1,0.83781,0.62861,1.048,0.91388,0.69343,0.77316,0.61601,0.63574,0.54431,0.94498,0.00025842,0.00025842,0.00025842
44,1353.1,0.79819,0.60172,1.03122,0.92899,0.69351,0.77906,0.62848,0.61164,0.52839,0.92701,0.00025743,0.00025743,0.00025743
45,1383.13,0.83178,0.63573,1.04854,0.91188,0.6846,0.76493,0.60237,0.65182,0.54796,0.94639,0.00025644,0.00025644,0.00025644
46,1414,0.81966,0.6113,1.04379,0.95206,0.68549,0.78629,0.62131,0.6586,0.51791,0.95296,0.00025545,0.00025545,0.00025545
47,1443.92,0.79561,0.58714,1.03216,0.90229,0.68745,0.77754,0.6306,0.61075,0.50957,0.93231,0.00025446,0.00025446,0.00025446
48,1474.28,0.78109,0.58269,1.02014,0.90603,0.71265,0.78651,0.63316,0.63916,0.50059,0.92973,0.00025347,0.00025347,0.00025347
49,1505.72,0.78465,0.5973,1.02083,0.91175,0.70813,0.78325,0.62829,0.61287,0.48928,0.92566,0.00025248,0.00025248,0.00025248
50,1537.27,0.77962,0.57571,1.01658,0.93656,0.69575,0.79155,0.63624,0.61857,0.47828,0.93412,0.00025149,0.00025149,0.00025149
51,1569.51,0.77481,0.57005,1.01764,0.91774,0.69044,0.78161,0.63366,0.61208,0.49874,0.92844,0.0002505,0.0002505,0.0002505
52,1600.36,0.78709,0.58862,1.01784,0.90539,0.71643,0.78714,0.62946,0.62513,0.49505,0.92937,0.00024951,0.00024951,0.00024951
53,1630.73,0.78302,0.59619,1.02318,0.89445,0.71632,0.78845,0.62668,0.64646,0.5338,0.9282,0.00024852,0.00024852,0.00024852
54,1660.94,0.75218,0.56446,1.00366,0.91046,0.70937,0.79543,0.62266,0.68132,0.51287,0.94275,0.00024753,0.00024753,0.00024753
55,1691.74,0.74627,0.56256,1.00689,0.94181,0.7033,0.79681,0.63012,0.66962,0.49312,0.94398,0.00024654,0.00024654,0.00024654
56,1722.45,0.7561,0.55752,1.0019,0.92803,0.71373,0.79685,0.63807,0.61837,0.4926,0.93416,0.00024555,0.00024555,0.00024555
57,1752.57,0.75214,0.56063,1.00787,0.92588,0.7076,0.79699,0.64366,0.60875,0.48392,0.92453,0.00024456,0.00024456,0.00024456
58,1782.55,0.75379,0.56213,1.00605,0.94075,0.69955,0.79448,0.6474,0.59175,0.49226,0.90875,0.00024357,0.00024357,0.00024357
59,1813.12,0.7469,0.5707,1.00397,0.9177,0.6911,0.77997,0.63274,0.58464,0.4793,0.92295,0.00024258,0.00024258,0.00024258
60,1843.31,0.74214,0.55134,1.00634,0.92393,0.69789,0.78716,0.6401,0.60288,0.49387,0.9254,0.00024159,0.00024159,0.00024159
61,1872.67,0.72666,0.53623,0.98815,0.8937,0.72177,0.79806,0.63326,0.64063,0.50476,0.93073,0.0002406,0.0002406,0.0002406
62,1903.08,0.72286,0.54798,0.99523,0.93078,0.71246,0.80351,0.64922,0.6127,0.47811,0.92979,0.00023961,0.00023961,0.00023961
63,1933.59,0.72769,0.53744,0.99382,0.90605,0.71741,0.79282,0.64423,0.57909,0.4763,0.91162,0.00023862,0.00023862,0.00023862
64,1963.57,0.71611,0.53488,0.99536,0.89806,0.72985,0.79374,0.64744,0.58469,0.45642,0.91139,0.00023763,0.00023763,0.00023763
65,1994.07,0.74234,0.55412,0.99754,0.94522,0.69992,0.79402,0.64678,0.60813,0.50111,0.91628,0.00023664,0.00023664,0.00023664
66,2023.93,0.72497,0.53881,0.989,0.91652,0.7271,0.79913,0.64294,0.60084,0.47038,0.92578,0.00023565,0.00023565,0.00023565
67,2053.95,0.73709,0.55056,0.99172,0.90681,0.70698,0.79079,0.64511,0.58802,0.45675,0.92861,0.00023466,0.00023466,0.00023466
68,2083.62,0.72648,0.52854,0.99047,0.90875,0.72821,0.7975,0.64732,0.59498,0.45964,0.93077,0.00023367,0.00023367,0.00023367
69,2113.17,0.70269,0.52134,0.98629,0.94947,0.70491,0.79892,0.64923,0.62369,0.46638,0.93511,0.00023268,0.00023268,0.00023268
70,2145.14,0.70338,0.52203,0.98949,0.91542,0.7121,0.79545,0.65226,0.59604,0.46908,0.9169,0.00023169,0.00023169,0.00023169
71,2177.02,0.71131,0.53082,0.99936,0.93601,0.70759,0.79802,0.6503,0.58631,0.462,0.92064,0.0002307,0.0002307,0.0002307
72,2207,0.69298,0.50958,0.97583,0.9126,0.72319,0.79476,0.64942,0.58397,0.45753,0.91789,0.00022971,0.00022971,0.00022971
73,2236.84,0.6968,0.51428,0.97782,0.93047,0.72479,0.79639,0.64831,0.57189,0.45396,0.9144,0.00022872,0.00022872,0.00022872
74,2267.02,0.70026,0.51079,0.97494,0.93002,0.7053,0.78798,0.64634,0.58971,0.48478,0.91205,0.00022773,0.00022773,0.00022773
75,2297.93,0.69364,0.51121,0.98374,0.90349,0.72596,0.79246,0.63474,0.64326,0.50499,0.93627,0.00022674,0.00022674,0.00022674
76,2327.95,0.68716,0.50285,0.97112,0.93162,0.70889,0.79478,0.64032,0.6166,0.5012,0.93636,0.00022575,0.00022575,0.00022575
77,2358.77,0.68957,0.50222,0.97961,0.90297,0.72935,0.79806,0.65352,0.62231,0.48872,0.92773,0.00022476,0.00022476,0.00022476
78,2389.38,0.70047,0.5226,0.97257,0.91432,0.72231,0.79397,0.65181,0.58048,0.46728,0.90946,0.00022377,0.00022377,0.00022377
79,2419.55,0.68646,0.50546,0.97456,0.93267,0.73092,0.80879,0.66066,0.6032,0.46281,0.9069,0.00022278,0.00022278,0.00022278
80,2450.34,0.68226,0.49486,0.97355,0.91922,0.73265,0.8075,0.66199,0.57066,0.44654,0.91133,0.00022179,0.00022179,0.00022179
81,2481.79,0.67971,0.50814,0.97721,0.91734,0.71652,0.80066,0.65993,0.58011,0.46365,0.90932,0.0002208,0.0002208,0.0002208
82,2511.71,0.67241,0.49862,0.97396,0.92583,0.71505,0.80154,0.65725,0.57558,0.45819,0.90683,0.00021981,0.00021981,0.00021981
83,2541.8,0.69738,0.50524,0.97986,0.9454,0.72415,0.80786,0.66189,0.61133,0.46667,0.90897,0.00021882,0.00021882,0.00021882
84,2571.3,0.69064,0.5116,0.97935,0.93552,0.72517,0.80311,0.66628,0.55867,0.46249,0.90224,0.00021783,0.00021783,0.00021783
85,2603.46,0.68676,0.50114,0.96516,0.93972,0.70978,0.79934,0.65564,0.59025,0.47265,0.91418,0.00021684,0.00021684,0.00021684
86,2634.25,0.68996,0.5048,0.9761,0.90523,0.73839,0.80216,0.66428,0.56838,0.45141,0.90237,0.00021585,0.00021585,0.00021585
87,2664.66,0.68078,0.50168,0.96966,0.95771,0.70571,0.81221,0.6601,0.56546,0.45543,0.89484,0.00021486,0.00021486,0.00021486
