epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,954.5,0.41889,0.30995,0.85851,0.94421,0.73643,0.82859,0.69999,0.46279,0.39419,0.8662,0.000269557,0.000269557,0.000269557
43,977.222,0.41306,0.30814,0.86426,0.92376,0.75952,0.83159,0.70848,0.46277,0.39609,0.87281,0.000268815,0.000268815,0.000268815
44,1000.96,0.40699,0.29445,0.8587,0.95563,0.73808,0.83287,0.71228,0.46845,0.3831,0.86889,0.000268072,0.000268072,0.000268072
45,1024.59,0.40892,0.30116,0.85967,0.92999,0.75495,0.83102,0.71037,0.45411,0.3897,0.85665,0.00026733,0.00026733,0.00026733
46,1047.18,0.41656,0.30619,0.86277,0.92696,0.75373,0.83354,0.71249,0.4629,0.38143,0.86237,0.000266587,0.000266587,0.000266587
47,1070.79,0.41075,0.30495,0.86359,0.92572,0.74381,0.82703,0.70479,0.47895,0.4044,0.87428,0.000265845,0.000265845,0.000265845
48,1093.45,0.4076,0.2991,0.86156,0.93681,0.748,0.83617,0.71196,0.48409,0.414,0.87225,0.000265103,0.000265103,0.000265103
49,1116.06,0.40552,0.29718,0.86338,0.90635,0.74667,0.82653,0.70207,0.47011,0.40302,0.8752,0.00026436,0.00026436,0.00026436
50,1138.79,0.40247,0.29838,0.86032,0.92419,0.76039,0.83419,0.70462,0.46728,0.39026,0.87724,0.000263617,0.000263617,0.000263617
51,1161.4,0.402,0.29682,0.85677,0.92964,0.76444,0.83986,0.71527,0.47472,0.38454,0.88406,0.000262875,0.000262875,0.000262875
52,1185.08,0.4112,0.30095,0.86688,0.93368,0.74545,0.82907,0.71295,0.46306,0.38142,0.88731,0.000262132,0.000262132,0.000262132
53,1207.64,0.40064,0.29127,0.86184,0.93629,0.73232,0.82442,0.70308,0.47742,0.40176,0.88496,0.00026139,0.00026139,0.00026139
54,1230.19,0.40602,0.29861,0.86165,0.92963,0.75754,0.83248,0.7035,0.46687,0.38152,0.879,0.000260647,0.000260647,0.000260647
55,1252.92,0.39241,0.29198,0.85679,0.91429,0.74158,0.82737,0.70865,0.46221,0.41161,0.87827,0.000259905,0.000259905,0.000259905
56,1275.65,0.39927,0.29932,0.85715,0.92261,0.7479,0.82687,0.70213,0.46947,0.40582,0.88128,0.000259163,0.000259163,0.000259163
57,1298.36,0.40371,0.29401,0.8577,0.94366,0.74923,0.83054,0.70694,0.47121,0.37902,0.87225,0.00025842,0.00025842,0.00025842
58,1320.99,0.39122,0.29209,0.85512,0.95158,0.73159,0.829,0.70875,0.48281,0.38283,0.89159,0.000257678,0.000257678,0.000257678
59,1343.68,0.40768,0.29954,0.8612,0.95325,0.74108,0.82774,0.70826,0.47966,0.39463,0.89566,0.000256935,0.000256935,0.000256935
60,1366.33,0.40278,0.29024,0.85966,0.92522,0.74193,0.82842,0.70289,0.46269,0.41208,0.8782,0.000256192,0.000256192,0.000256192
61,1389,0.41216,0.30544,0.85802,0.92853,0.74922,0.82905,0.70897,0.46177,0.38194,0.87396,0.00025545,0.00025545,0.00025545
62,1411.88,0.38814,0.28947,0.85249,0.95255,0.74337,0.8321,0.7113,0.45741,0.38044,0.87167,0.000254707,0.000254707,0.000254707
63,1434.69,0.39136,0.28819,0.85447,0.94365,0.73576,0.82694,0.70396,0.47171,0.38228,0.881,0.000253965,0.000253965,0.000253965
64,1457.43,0.39203,0.28931,0.85339,0.93184,0.7423,0.82608,0.70853,0.4667,0.39512,0.87308,0.000253223,0.000253223,0.000253223
65,1480.19,0.39208,0.29162,0.85703,0.92551,0.74404,0.83081,0.71021,0.44854,0.39574,0.86353,0.00025248,0.00025248,0.00025248
66,1502.89,0.39612,0.29654,0.85786,0.95025,0.73769,0.82681,0.70956,0.4436,0.38548,0.86655,0.000251737,0.000251737,0.000251737
67,1525.47,0.38667,0.28833,0.86018,0.93038,0.75353,0.82743,0.7089,0.45919,0.39432,0.87434,0.000250995,0.000250995,0.000250995
68,1548.03,0.3917,0.28802,0.85664,0.92945,0.75877,0.82871,0.70994,0.44674,0.39396,0.86618,0.000250252,0.000250252,0.000250252
69,1570.69,0.38353,0.28726,0.85041,0.95298,0.73018,0.82818,0.71182,0.4382,0.38887,0.86067,0.00024951,0.00024951,0.00024951
70,1593.67,0.38447,0.2848,0.84861,0.94568,0.74028,0.82442,0.70203,0.45871,0.37286,0.87963,0.000248767,0.000248767,0.000248767
71,1616.52,0.38754,0.28272,0.85701,0.92442,0.74711,0.82886,0.71197,0.46576,0.39036,0.87175,0.000248025,0.000248025,0.000248025
72,1639.36,0.39138,0.28925,0.86163,0.94953,0.74582,0.83695,0.71585,0.4598,0.37442,0.87416,0.000247282,0.000247282,0.000247282
73,1663.12,0.39145,0.29045,0.85656,0.91679,0.75977,0.82564,0.71058,0.45074,0.38599,0.86596,0.00024654,0.00024654,0.00024654
74,1685.76,0.39184,0.29102,0.8543,0.90866,0.75633,0.82412,0.7035,0.45261,0.37688,0.86826,0.000245797,0.000245797,0.000245797
75,1708.35,0.38745,0.28649,0.85416,0.9075,0.76088,0.84089,0.72494,0.4417,0.3712,0.85592,0.000245055,0.000245055,0.000245055
76,1731.97,0.37505,0.27748,0.84965,0.94929,0.7469,0.84077,0.71877,0.45157,0.35836,0.86453,0.000244312,0.000244312,0.000244312
77,1754.72,0.38965,0.28923,0.85484,0.92465,0.74959,0.83204,0.71342,0.45456,0.38288,0.87733,0.00024357,0.00024357,0.00024357
78,1777.35,0.3762,0.27635,0.84818,0.93403,0.75045,0.83798,0.71955,0.44922,0.36834,0.86805,0.000242827,0.000242827,0.000242827
79,1800,0.38454,0.28473,0.85314,0.95509,0.74918,0.83385,0.72096,0.44717,0.36708,0.86457,0.000242085,0.000242085,0.000242085
80,1822.79,0.37693,0.28301,0.84639,0.94061,0.74675,0.83405,0.71455,0.45421,0.3787,0.86532,0.000241342,0.000241342,0.000241342
81,1845.47,0.38476,0.28772,0.85275,0.93947,0.74441,0.8383,0.72143,0.45405,0.39798,0.86836,0.0002406,0.0002406,0.0002406
82,1868.28,0.38433,0.28364,0.85697,0.9521,0.7393,0.82778,0.70692,0.45562,0.37691,0.86383,0.000239857,0.000239857,0.000239857
83,1890.99,0.37921,0.28087,0.84746,0.95194,0.73296,0.83578,0.71806,0.45235,0.37828,0.86083,0.000239115,0.000239115,0.000239115
84,1913.65,0.3798,0.27495,0.85414,0.93898,0.74903,0.83356,0.71007,0.46957,0.3701,0.86769,0.000238372,0.000238372,0.000238372
85,1936.24,0.3849,0.28197,0.84896,0.92683,0.76232,0.83612,0.71756,0.46941,0.3677,0.87983,0.00023763,0.00023763,0.00023763
86,1958.95,0.37248,0.27533,0.85123,0.96331,0.73097,0.83403,0.7185,0.45064,0.37339,0.88332,0.000236887,0.000236887,0.000236887
87,1981.68,0.38297,0.27381,0.84868,0.9598,0.74276,0.82921,0.71417,0.45514,0.37142,0.88425,0.000236145,0.000236145,0.000236145
88,2004.38,0.38416,0.2793,0.85263,0.92285,0.75548,0.835,0.71605,0.45757,0.37185,0.88431,0.000235402,0.000235402,0.000235402
89,2026.86,0.37821,0.27519,0.85368,0.9426,0.75193,0.83616,0.71467,0.44331,0.35804,0.86609,0.00023466,0.00023466,0.00023466
90,2049.6,0.37838,0.27675,0.85309,0.9457,0.74733,0.83745,0.71898,0.45297,0.36607,0.88027,0.000233917,0.000233917,0.000233917
91,2072.46,0.37374,0.27275,0.8525,0.94117,0.74987,0.83028,0.71032,0.46551,0.38656,0.88681,0.000233175,0.000233175,0.000233175
92,2095.32,0.38203,0.28113,0.85894,0.93842,0.74467,0.83483,0.71835,0.46238,0.37637,0.87785,0.000232432,0.000232432,0.000232432
93,2117.98,0.38046,0.27749,0.85184,0.90669,0.773,0.84026,0.72161,0.46593,0.37085,0.87646,0.00023169,0.00023169,0.00023169
94,2140.6,0.37654,0.27457,0.84992,0.94406,0.73555,0.83632,0.71602,0.45257,0.36788,0.87535,0.000230947,0.000230947,0.000230947
95,2163.23,0.36386,0.26368,0.84793,0.95187,0.73853,0.83591,0.72436,0.44822,0.3723,0.88117,0.000230205,0.000230205,0.000230205
96,2185.91,0.37154,0.27275,0.85265,0.94442,0.76041,0.83339,0.72114,0.44603,0.36138,0.87435,0.000229462,0.000229462,0.000229462
97,2208.54,0.35976,0.26252,0.84569,0.94527,0.74807,0.84063,0.72067,0.44586,0.36934,0.87596,0.00022872,0.00022872,0.00022872
98,2231.22,0.37058,0.27002,0.8494,0.92851,0.75815,0.83542,0.7183,0.4491,0.37604,0.884,0.000227978,0.000227978,0.000227978
99,2253.85,0.37545,0.27319,0.85123,0.94819,0.74445,0.8341,0.72112,0.44964,0.37354,0.8711,0.000227235,0.000227235,0.000227235
100,2276.5,0.37759,0.27297,0.85063,0.9351,0.74774,0.83769,0.72317,0.44511,0.36614,0.86548,0.000226492,0.000226492,0.000226492
101,2299.15,0.36775,0.26933,0.84456,0.91475,0.7524,0.8324,0.71447,0.45468,0.38499,0.87054,0.00022575,0.00022575,0.00022575
102,2321.9,0.37267,0.27317,0.84948,0.94194,0.75039,0.8407,0.72637,0.44619,0.35347,0.86464,0.000225008,0.000225008,0.000225008
103,2345.47,0.36783,0.26765,0.84843,0.93409,0.76188,0.83725,0.72908,0.43451,0.35706,0.86926,0.000224265,0.000224265,0.000224265
104,2369.09,0.37232,0.27103,0.84903,0.91971,0.76313,0.83604,0.71945,0.44692,0.35652,0.87376,0.000223522,0.000223522,0.000223522
105,2391.82,0.36793,0.26607,0.84821,0.95236,0.75638,0.84419,0.72557,0.44458,0.36256,0.8643,0.00022278,0.00022278,0.00022278
106,2414.69,0.36487,0.26942,0.85029,0.89894,0.78379,0.84533,0.7235,0.4453,0.34409,0.86254,0.000222037,0.000222037,0.000222037
107,2437.41,0.36832,0.27183,0.84684,0.92492,0.76646,0.83999,0.71945,0.43527,0.36935,0.86517,0.000221295,0.000221295,0.000221295
108,2460.01,0.35912,0.26311,0.85156,0.93812,0.75588,0.84133,0.71832,0.44522,0.35952,0.87609,0.000220552,0.000220552,0.000220552
109,2482.7,0.36228,0.26026,0.84467,0.90246,0.77679,0.84475,0.71736,0.44655,0.35463,0.87852,0.00021981,0.00021981,0.00021981
110,2505.45,0.35789,0.26156,0.84171,0.92955,0.75529,0.84069,0.71978,0.44354,0.36155,0.8747,0.000219067,0.000219067,0.000219067
111,2528.15,0.35797,0.26445,0.84905,0.94057,0.75116,0.83877,0.72282,0.44323,0.37467,0.86749,0.000218325,0.000218325,0.000218325
112,2550.98,0.36068,0.26553,0.84889,0.91891,0.74849,0.82471,0.71347,0.42784,0.35707,0.85624,0.000217582,0.000217582,0.000217582
113,2573.49,0.36199,0.26366,0.84857,0.95096,0.74014,0.83449,0.72217,0.43177,0.36383,0.87008,0.00021684,0.00021684,0.00021684
114,2596.12,0.35216,0.26203,0.84433,0.94934,0.7365,0.83739,0.72024,0.42713,0.33941,0.8661,0.000216097,0.000216097,0.000216097
115,2618.7,0.36152,0.26254,0.84335,0.92935,0.74884,0.83486,0.71979,0.43734,0.35116,0.8711,0.000215355,0.000215355,0.000215355
116,2641.3,0.36091,0.26325,0.8467,0.95325,0.73203,0.82713,0.71466,0.43869,0.36069,0.88096,0.000214612,0.000214612,0.000214612
117,2663.93,0.35554,0.26131,0.8461,0.95788,0.74373,0.84163,0.72208,0.43851,0.36546,0.87059,0.00021387,0.00021387,0.00021387
118,2686.65,0.36663,0.26521,0.85229,0.92562,0.7584,0.83188,0.71652,0.43478,0.36864,0.86812,0.000213127,0.000213127,0.000213127
119,2709.25,0.36911,0.27038,0.84625,0.93479,0.75537,0.83391,0.71377,0.44022,0.37753,0.86811,0.000212385,0.000212385,0.000212385
120,2731.81,0.35559,0.26233,0.8465,0.9406,0.7498,0.83391,0.71755,0.45273,0.36113,0.87744,0.000211642,0.000211642,0.000211642
121,2754.42,0.35143,0.25322,0.84522,0.94145,0.75657,0.84034,0.72169,0.4442,0.36303,0.87564,0.0002109,0.0002109,0.0002109
122,2777.26,0.35788,0.25732,0.84381,0.96025,0.72524,0.83863,0.72285,0.44226,0.36564,0.86726,0.000210157,0.000210157,0.000210157
123,2799.92,0.34827,0.25097,0.8419,0.93249,0.74348,0.84146,0.72227,0.44522,0.3679,0.87101,0.000209415,0.000209415,0.000209415
124,2822.54,0.34637,0.2505,0.84046,0.94686,0.75268,0.84241,0.7275,0.43619,0.3685,0.86303,0.000208673,0.000208673,0.000208673
125,2845.28,0.3535,0.25322,0.84516,0.95804,0.74301,0.85035,0.73905,0.42904,0.347,0.87397,0.00020793,0.00020793,0.00020793
126,2868.91,0.35992,0.25856,0.84229,0.94731,0.75468,0.85054,0.72779,0.4341,0.3418,0.86955,0.000207187,0.000207187,0.000207187
127,2891.51,0.35524,0.25756,0.8473,0.92188,0.76946,0.84925,0.72439,0.44564,0.37205,0.87286,0.000206445,0.000206445,0.000206445
128,2914.19,0.34163,0.24793,0.83876,0.96506,0.73663,0.84288,0.72968,0.43324,0.38417,0.86483,0.000205702,0.000205702,0.000205702
129,2936.9,0.3559,0.26108,0.84817,0.95046,0.74439,0.84751,0.73074,0.43692,0.37233,0.86666,0.00020496,0.00020496,0.00020496
130,2959.54,0.34769,0.25624,0.8428,0.94749,0.75878,0.84113,0.72258,0.44095,0.36306,0.86145,0.000204217,0.000204217,0.000204217
131,2982.3,0.3547,0.25728,0.84906,0.9513,0.75316,0.84091,0.73246,0.4326,0.35811,0.85853,0.000203475,0.000203475,0.000203475
132,3005.29,0.35169,0.25794,0.84566,0.95706,0.75726,0.83684,0.72305,0.43948,0.35055,0.8678,0.000202732,0.000202732,0.000202732
133,3028.13,0.33916,0.24547,0.83986,0.95662,0.75381,0.83911,0.72334,0.43636,0.351,0.8692,0.00020199,0.00020199,0.00020199
134,3050.97,0.34692,0.25211,0.8399,0.96079,0.74802,0.84298,0.72782,0.44396,0.35676,0.87623,0.000201247,0.000201247,0.000201247
135,3073.61,0.35606,0.2585,0.84847,0.94002,0.76197,0.84344,0.72455,0.44554,0.35077,0.88286,0.000200505,0.000200505,0.000200505
136,3096.42,0.34765,0.25293,0.84433,0.95974,0.74971,0.84128,0.72412,0.4387,0.3548,0.8771,0.000199762,0.000199762,0.000199762
137,3119.16,0.35348,0.25397,0.84663,0.93186,0.75696,0.83775,0.72665,0.44235,0.36662,0.86982,0.00019902,0.00019902,0.00019902
138,3141.97,0.3537,0.25476,0.84216,0.9402,0.75605,0.84499,0.72815,0.44727,0.3564,0.87906,0.000198277,0.000198277,0.000198277
139,3164.68,0.34601,0.25199,0.84238,0.94489,0.74887,0.84152,0.73321,0.44119,0.36498,0.87582,0.000197535,0.000197535,0.000197535
140,3187.39,0.3534,0.25276,0.84424,0.93732,0.75654,0.845,0.73335,0.42556,0.34573,0.86167,0.000196793,0.000196793,0.000196793
141,3210.2,0.34777,0.26021,0.84575,0.94936,0.75552,0.84851,0.73339,0.4343,0.3513,0.86918,0.00019605,0.00019605,0.00019605
