epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1257.08,0.79915,0.61726,1.03457,0.89864,0.69915,0.77824,0.62147,0.65676,0.58261,0.95532,0.00025941,0.00025941,0.00025941
43,1286.75,0.79715,0.59209,1.02884,0.91132,0.69993,0.77953,0.61833,0.64403,0.54113,0.93468,0.00025842,0.00025842,0.00025842
44,1316.51,0.79644,0.60426,1.02097,0.92731,0.69196,0.77929,0.62828,0.6521,0.52424,0.92691,0.00025743,0.00025743,0.00025743
45,1346.41,0.80442,0.59777,1.02983,0.90522,0.67578,0.76132,0.59884,0.68004,0.60197,0.95303,0.00025644,0.00025644,0.00025644
46,1376.21,0.77642,0.57639,1.02479,0.89294,0.68344,0.77067,0.62456,0.63331,0.52836,0.93549,0.00025545,0.00025545,0.00025545
47,1405.58,0.76481,0.57214,1.01288,0.93133,0.68651,0.77873,0.61948,0.64128,0.49657,0.91829,0.00025446,0.00025446,0.00025446
48,1435.35,0.79102,0.58492,1.0279,0.90606,0.6992,0.78267,0.62853,0.6142,0.49085,0.93905,0.00025347,0.00025347,0.00025347
49,1465.69,0.76608,0.56844,1.01987,0.91918,0.67451,0.77552,0.61552,0.6614,0.52892,0.9284,0.00025248,0.00025248,0.00025248
50,1494.8,0.75562,0.56792,1.01132,0.92744,0.66645,0.7748,0.62251,0.63614,0.51509,0.92471,0.00025149,0.00025149,0.00025149
51,1523.98,0.79176,0.58353,1.02698,0.88555,0.69159,0.7765,0.63032,0.59864,0.50521,0.93218,0.0002505,0.0002505,0.0002505
52,1555.11,0.76505,0.57476,1.021,0.89701,0.69143,0.78052,0.62563,0.65363,0.51801,0.93981,0.00024951,0.00024951,0.00024951
53,1583.86,0.77377,0.57748,1.01144,0.93732,0.66379,0.77599,0.62949,0.5955,0.51822,0.93305,0.00024852,0.00024852,0.00024852
54,1613.32,0.75677,0.56479,1.01369,0.88405,0.71545,0.78565,0.64065,0.63543,0.51291,0.93129,0.00024753,0.00024753,0.00024753
55,1645.17,0.75876,0.56473,1.01152,0.92761,0.70102,0.79039,0.61813,0.7084,0.51895,0.93888,0.00024654,0.00024654,0.00024654
56,1674.55,0.75718,0.55963,1.00279,0.88296,0.68994,0.77468,0.6215,0.60778,0.52382,0.92014,0.00024555,0.00024555,0.00024555
57,1704.13,0.7439,0.55362,0.99843,0.88538,0.68524,0.77818,0.62721,0.62429,0.52236,0.93321,0.00024456,0.00024456,0.00024456
58,1733.47,0.73061,0.54982,0.99194,0.91838,0.68681,0.78545,0.62539,0.63593,0.50176,0.93544,0.00024357,0.00024357,0.00024357
59,1762.51,0.7316,0.52942,0.99165,0.90936,0.70443,0.78884,0.6371,0.62441,0.51617,0.92232,0.00024258,0.00024258,0.00024258
60,1792.3,0.72125,0.52969,0.9823,0.89189,0.72105,0.79078,0.63164,0.6568,0.52461,0.92392,0.00024159,0.00024159,0.00024159
61,1820.95,0.75211,0.54755,1.00635,0.90915,0.70354,0.78998,0.63355,0.64214,0.52208,0.92952,0.0002406,0.0002406,0.0002406
